exp	description	R@1	R@5	MRR	status
0	baseline T=0.07	0.3660	0.7370	0.5300	baseline
1	TEMP=0.05	0.3348	0.7679	0.5136	discard
2	TEMP=0.03	0.3214	0.7455	0.5121	discard
3	TEMP=0.10	0.3705	0.7812	0.5402	KEEP
4	LR=5e-3,T=0.10	0.3527	0.7812	0.5318	discard
5	D_MODEL=256,T=0.10	0.3125	0.7902	0.5005	discard
6	N_LAYERS=4,T=0.10	0.3080	0.7545	0.4888	discard
7	BATCH=64,T=0.10	0.2930	0.6523	0.4663	discard
8	TEMP=0.15	0.4152	0.7589	0.5696	KEEP
9	TEMP=0.20	0.3438	0.7812	0.5420	discard
10	D_FFN=256,T=0.15	0.3661	0.7946	0.5408	discard
11	EVAL=500,WD=0,T=0.15	0.3973	0.7679	0.5595	discard
12	MAX_P_LEN=96,T=0.15	0.3571	0.7277	0.5289	discard
13	LR_floor=0.3,T=0.15	0.3884	0.7277	0.5458	discard
